id,move_id,account_id,partner_id,date,name,debit,credit,balance,currency_id,analytic_distribution,reconciled
304,"[107, 'CBMX/2026/05/0002 (INV/2026/00047)']","[4350, 'Taxable Cash Flow Tax Basis']","[46, 'Carlos Solana']",2026-05-03,INV/2026/00047 - PBNK1/2026/00017,0.0,1.0,-1.0,"[33, 'MXN']",False,False
305,"[107, 'CBMX/2026/05/0002 (INV/2026/00047)']","[4303, 'VAT carried forward not collected']","[46, 'Carlos Solana']",2026-05-03,16%,0.16,0.0,0.16,"[33, 'MXN']",False,True
306,"[107, 'CBMX/2026/05/0002 (INV/2026/00047)']","[4301, 'VAT carried forward collected']","[46, 'Carlos Solana']",2026-05-03,16%,0.0,0.16,-0.16,"[33, 'MXN']",False,False
299,"[106, 'CBMX/2026/05/0001 (INV/2026/00046)']","[4350, 'Taxable Cash Flow Tax Basis']","[46, 'Carlos Solana']",2026-05-03,INV/2026/00046 - PBNK1/2026/00017,1.0,0.0,1.0,"[33, 'MXN']",False,False
300,"[106, 'CBMX/2026/05/0001 (INV/2026/00046)']","[4350, 'Taxable Cash Flow Tax Basis']","[46, 'Carlos Solana']",2026-05-03,INV/2026/00046 - PBNK1/2026/00017,0.0,1.0,-1.0,"[33, 'MXN']",False,False
301,"[106, 'CBMX/2026/05/0001 (INV/2026/00046)']","[4303, 'VAT carried forward not collected']","[46, 'Carlos Solana']",2026-05-03,16%,0.16,0.0,0.16,"[33, 'MXN']",False,True
302,"[106, 'CBMX/2026/05/0001 (INV/2026/00046)']","[4301, 'VAT carried forward collected']","[46, 'Carlos Solana']",2026-05-03,16%,0.0,0.16,-0.16,"[33, 'MXN']",False,False
342,"[120, 'MISCE/2026/05/0001 (TS)']","[3696, '102.01.06 BBVA CTA.3701 MX']",False,2026-05-01,TRASPASO,10000.0,0.0,10000.0,"[33, 'MXN']",False,False
343,"[120, 'MISCE/2026/05/0001 (TS)']","[135, '102.01.01 BBVA CTA.7934 MX']",False,2026-05-01,TRASPASO,0.0,10000.0,-10000.0,"[33, 'MXN']",False,False
286,"[100, 'INV/2026/00044']","[4326, 'Sales and/or services taxed at the general rate']","[46, 'Carlos Solana']",2026-04-30,Servicio en la hoja de horas,0.0,41.37,-41.37,"[1, 'USD']",False,False
287,"[100, 'INV/2026/00044']","[4265, 'Domestic customers']","[46, 'Carlos Solana']",2026-04-30,INV/2026/00044,41.37,0.0,41.37,"[1, 'USD']",False,False
284,"[99, 'INV/2026/00043']","[4326, 'Sales and/or services taxed at the general rate']","[46, 'Carlos Solana']",2026-04-30,Servicio en la hoja de horas,0.0,40.0,-40.0,"[1, 'USD']",False,False
285,"[99, 'INV/2026/00043']","[4265, 'Domestic customers']","[46, 'Carlos Solana']",2026-04-30,INV/2026/00043,40.0,0.0,40.0,"[1, 'USD']",False,False
278,"[94, 'PBNK1/2026/00016 (INV/2026/00042)']","[4351, 'BBVA CTA.7934 MX']","[46, 'Carlos Solana']",2026-04-29,Pago manual: INV/2026/00042,100.0,0.0,100.0,"[125, 'EUR']",False,False
279,"[94, 'PBNK1/2026/00016 (INV/2026/00042)']","[4265, 'Domestic customers']","[46, 'Carlos Solana']",2026-04-29,Pago manual: INV/2026/00042,0.0,100.0,-100.0,"[125, 'EUR']",False,False
234,"[81, 'Borrador de factura INV/2026/00042']","[4326, 'Sales and/or services taxed at the general rate']","[46, 'Carlos Solana']",2026-04-29,[ANT-01] Anticipo,0.0,1700.0,-1700.0,"[1, 'USD']",False,False
235,"[81, 'Borrador de factura INV/2026/00042']","[4265, 'Domestic customers']","[46, 'Carlos Solana']",2026-04-29,INV/2026/00042,1700.0,0.0,1700.0,"[1, 'USD']",False,False
282,"[96, 'CAMBI/2026/04/0002 (Reversión de: CAMBI/2026/04/0001)']","[4265, 'Domestic customers']","[46, 'Carlos Solana']",2026-04-29,Diferencia en tasa de cambio de moneda,1800.0,0.0,1800.0,"[125, 'EUR']",False,True
283,"[96, 'CAMBI/2026/04/0002 (Reversión de: CAMBI/2026/04/0001)']","[4347, 'Foreign exchange loss']","[46, 'Carlos Solana']",2026-04-29,Diferencia en tasa de cambio de moneda,0.0,1800.0,-1800.0,"[125, 'EUR']",False,False
280,"[95, 'CAMBI/2026/04/0001']","[4265, 'Domestic customers']","[46, 'Carlos Solana']",2026-04-29,Diferencia en tasa de cambio de moneda,0.0,1800.0,-1800.0,"[125, 'EUR']",False,True
281,"[95, 'CAMBI/2026/04/0001']","[4347, 'Foreign exchange loss']","[46, 'Carlos Solana']",2026-04-29,Diferencia en tasa de cambio de moneda,1800.0,0.0,1800.0,"[125, 'EUR']",False,False
221,"[75, 'Borrador de factura']","[4326, 'Sales and/or services taxed at the general rate']","[46, 'Carlos Solana']",2026-04-27,[ANT-01] Anticipo,0.0,0.0,0.0,"[125, 'EUR']",False,False
222,"[75, 'Borrador de factura']","[4265, 'Domestic customers']","[46, 'Carlos Solana']",2026-04-27,False,0.0,0.0,0.0,"[125, 'EUR']",False,True
223,"[76, 'Borrador de factura']","[4326, 'Sales and/or services taxed at the general rate']","[46, 'Carlos Solana']",2026-04-27,[ANT-01] Anticipo,0.0,0.0,0.0,"[125, 'EUR']",False,False
